4.7114 	EXP 	visual_stimulus: autoDraw = True
4.7114 	EXP 	auditory_icon: autoDraw = True
9.7217 	EXP 	Sound audio_stim stopped
9.7222 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'definition': 'A silent drummer', 'word': 'HEART', 'block': np.int64(1), 'modality': 'visual', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
9.7358 	EXP 	visual_stimulus: autoDraw = False
9.7358 	EXP 	auditory_icon: autoDraw = False
9.7358 	EXP 	visual_stimulus: autoDraw = False
9.7358 	EXP 	auditory_icon: autoDraw = False
9.7358 	EXP 	break_text: autoDraw = False
9.7358 	EXP 	visual_stimulus: height = np.float64(0.03)
9.7358 	EXP 	visual_stimulus: height = np.float64(0.03)
9.7358 	EXP 	visual_stimulus: height = np.float64(0.03)
9.7358 	EXP 	visual_stimulus: height = np.float64(0.03)
9.7358 	EXP 	visual_stimulus: height = np.float64(0.03)
9.7358 	EXP 	visual_stimulus: height = np.float64(0.03)
9.7358 	EXP 	visual_stimulus: text = 'A silent drummer\n\nHEART'
10.2116 	EXP 	Sound audio_stim reached end of file
10.2276 	EXP 	Playing sound audio_stim on speaker Speakers (Realtek(R) Audio)
10.2212 	INFO 	Keyboard events cleared
10.2210 	EXP 	visual_stimulus: autoDraw = True
10.2210 	EXP 	auditory_icon: autoDraw = True
15.2175 	EXP 	Sound audio_stim stopped
15.2179 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'definition': 'A spoon with ambition', 'word': 'SHOVEL', 'block': np.int64(1), 'modality': 'visual', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
15.2319 	EXP 	visual_stimulus: autoDraw = False
15.2319 	EXP 	auditory_icon: autoDraw = False
15.2319 	EXP 	visual_stimulus: autoDraw = False
15.2319 	EXP 	auditory_icon: autoDraw = False
15.2319 	EXP 	break_text: autoDraw = False
15.2319 	EXP 	visual_stimulus: height = np.float64(0.03)
15.2319 	EXP 	visual_stimulus: height = np.float64(0.03)
15.2319 	EXP 	visual_stimulus: height = np.float64(0.03)
15.2319 	EXP 	visual_stimulus: height = np.float64(0.03)
15.2319 	EXP 	visual_stimulus: height = np.float64(0.03)
15.2319 	EXP 	visual_stimulus: height = np.float64(0.03)
15.2319 	EXP 	visual_stimulus: text = 'A spoon with ambition\n\nSHOVEL'
15.7010 	EXP 	Sound audio_stim reached end of file
15.7170 	EXP 	Playing sound audio_stim on speaker Speakers (Realtek(R) Audio)
15.7105 	INFO 	Keyboard events cleared
15.7103 	EXP 	visual_stimulus: autoDraw = True
15.7103 	EXP 	auditory_icon: autoDraw = True
20.7108 	EXP 	Sound audio_stim stopped
20.7113 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'definition': 'A metal tongue for guitars', 'word': 'PICK', 'block': np.int64(1), 'modality': 'visual', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
20.7268 	EXP 	visual_stimulus: autoDraw = False
20.7268 	EXP 	auditory_icon: autoDraw = False
20.7268 	EXP 	visual_stimulus: autoDraw = False
20.7268 	EXP 	auditory_icon: autoDraw = False
20.7268 	EXP 	break_text: autoDraw = False
20.7268 	EXP 	visual_stimulus: height = np.float64(0.03)
20.7268 	EXP 	visual_stimulus: height = np.float64(0.03)
20.7268 	EXP 	visual_stimulus: height = np.float64(0.03)
