definition,word,old_new,correct_old_new
A sweet red fruit with seeds,APPLE,old,yes
A cold winter blanket,SNOW,new,no
A wooden box with strings,GUITAR,old,yes
A large vehicle for many people,BUS,new,no
A yellow curved fruit,BANANA,old,yes
A hot drink in a mug,COFFEE,new,no
